index,brand,sum_correct_recall,n_attempts,sum_incorrect_recall,recall_percentage,hit_count,false_alarm_count,correct_rejection_count,miss_count,total_old,total_new,hit_rate,false_alarm_rate,correct_rejection_rate,miss_rate,accuracy_correct,accuracy_incorrect,overall_accuracy,hits_fas,d_prime,Ease of Spelling (NLP),Frequency (NLP),Type Token Ratio (NLP),Automated Readability Index (NLP),Flesch Reading Ease (NLP),Flesch Kincaid Grade Level (NLP),Coleman Liau Index (NLP),Age of Acquisition (NLP),Orthographic Neighborhood Size (NLP),Orthographic Levenshtein Distance (NLP),Phonological Levenshtein Distance (NLP),Phonological Neighborhood Size (NLP),Length,Pronoun We (HR),Pronoun You (HR),Alliteration (HR),Prevalence (NLP),Arousal (HR),Arousal (NLP),Valence (HR),Valence (NLP),Dominance (NLP),Dominance (HR),Liking (HR),Concreteness (HR),Concreteness (NLP),Imageability (HR),Imageability (NLP),Slogan Brand Functional Fit (HR),Slogan Brand Personality Fit (HR),Slogan Brand Fit 1 (LLM),Slogan Brand Fit 2 (LLM),Creativity (HR),Humor (HR),Humor (NLP),Surprise (NLP),Closest Slogan Similarity (LLM),Wordplay (HR),Metaphor (HR),Distinctiveness Within Category (HR),Distinctiveness in General (HR),Distinctiveness (LLM),Slogan Semantic Density (LLM),Hyperbole (HR),Closest Brand Similarity (LLM)
#1 Trusted Brand For Brain Building Nutrition And Immune Support,Enfamil,7,193,186,0.03626943,159,10,167,34,193,177,0.8238341968911918,0.056497175,0.943502825,0.1761658031088082,326,44,0.8810810810810811,0.7673370217499488,2.4869662880641865,6,4.838060498143949,-1,-9.475,61.32500000000002,-7.19,-12.56,-7.39875,11.11111111111111,-1.488888889,-2.3,13.555555555555555,10,0,0,1,2.396669242605798,3.421052631578948,4.536333333333333,3.176470588235294,6.329000000000001,5.5255,4.894736842105263,3.5789473684210527,4.842105263157895,2.98125,4.526315789473684,4.4205,4.8,4.909090909090909,1.072452625,0.798012604,2.421052631578948,1.4736842105263157,2.055107527,9.926124566,0.18415723,0,0,2.272727272727273,3.210526315789474,0.156492674,0.629628478,0,0.128018648
"#imnoangel, #plusisequal, #thisbody",Lane Bryant,7,192,185,0.036458333,176,15,159,16,192,174,0.9166666666666666,0.086206897,0.913793103,0.083333333,335,31,0.9153005464480874,0.8304597701149425,2.7186519800424964,,,-1,-31.88,-21.81,-17.04666667,-28.46666667,,,,,,3,0,0,0,,4.266666666666667,,2.0625,,,4.3125,3.6666666666666665,3.375,,3.125,,3.65,4.266666666666667,1.037345269,0.758738988,3.8125,2.8125,,8.876488341,0.205721673,0,0,4.1875,5.076923076923077,0.155444623,0.654801305,0,0.136214837
100% dedicated to kids,Pediacare,3,189,186,0.015873016,144,12,183,45,189,195,0.7619047619047619,0.061538462,0.9384615384615383,0.238095238,327,57,0.8515625,0.7003663003663003,2.231827252832547,6.333333333333333,5.581705721409734,-1,-2.9425,54.72500000000002,-6.62,-2.9,-3.905,17.666666666666668,-1.416666667,-2.366666667,35.666666666666664,4,0,0,0,2.360460281182205,3.7777777777777777,5.394,4,6.909,5.5,4.523809523809524,4.380952380952381,4.9523809523809526,2.64,4.047619047619048,6.469,5.538461538461538,5.35,1.073926888,0.812426966,2.523809523809524,1.5714285714285714,2.066666667,8.607731747,0.125843106,0,0,3.5384615384615383,3.3125,0.123425979,0.550817568,0,0.100217988
2 treats in 1!,Blow Pops,5,201,196,0.024875622,167,8,182,34,201,190,0.8308457711442786,0.042105263,0.9578947368421052,0.1691542288557214,349,42,0.8925831202046036,0.7887405079863838,2.651708422,7,5.391856324068041,-1,6.477499999999999,118.175,2.229999999999998,8.7,-3.69,18,-1.325,-1.825,14.5,4,0,0,0,2.118339313013663,4.631578947368421,,2.7058823529411766,,,4.8125,3.5,4.684210526315789,3,4.2,,5.222222222222222,5.866666666666666,1.05823312,0.807513493,2.75,1.85,,6.001917334,0.158407542,0,0,3.3043478260869565,2.555555555555556,0.121340051,0.581774204,0,0.112776587
57 varieties,Heinz Ketchup,95,185,90,0.5135135135135135,166,13,181,19,185,194,0.8972972972972973,0.067010309,0.9329896907216496,0.1027027027027027,347,32,0.9155672823218998,0.8302869880189468,2.735997433782649,4,2.823313059186716,-1,-5.475,-6.695,-14.69,-1.3,,0,-2.6,-5.15,0,2,0,0,0,,4.6923076923076925,,2.9285714285714284,,,5.8,3.866666666666666,5.533333333333333,,5.133333333333334,,4.944444444444445,4.947368421052632,1.020370096,0.766145933,3.2666666666666666,1.5333333333333334,,8.49223359,0.201199779,0,0,2.7857142857142856,3.7222222222222223,0.151932809,0.656756448,0,0.058046173
99 and 44/100% pure,Ivory,10,164,154,0.06097561,150,6,207,14,164,213,0.9146341463414634,0.028169014,0.971830986,0.085365854,357,20,0.946949602,0.8864651322569564,3.2292611958154938,6.5,5.761218411469307,-1,0.5899999999999999,118.175,2.229999999999998,2.8999999999999986,-6.26,24,-0.95,-2.325,7,4,0,0,0,2.504858172949968,3.263157894736842,5.333,2.75,7.697,5.97,4.45,3.45,3.5,1.695,3.0526315789473686,3.125,4.8,5,1.042443151,0.782419652,2.9,2.1,,8.610703017,0.190619637,0,0,3.3529411764705883,3.8333333333333335,0.147526227,0.633211492,0,0.178422651
A New Orleans tradition - since 1889,Zatarain's,39,189,150,0.2063492063492063,173,13,172,16,189,185,0.9153439153439152,0.07027027,0.9297297297297298,0.084656085,345,29,0.9224598930481284,0.8450736450736451,2.817297931453239,5.75,5.366797295555268,-1,-1.755714286,59.745000000000005,-6.416666667,-7.3,-5.6275,8.75,-1.6375,-2.25,29.6,7,0,0,0,2.2782041179169386,2.9411764705882355,6.031,1.9444444444444444,7.063,5.71,4.352941176470588,4,5.055555555555555,1.835,4.333333333333333,4.313,5.5,5.882352941176471,1.063298939,0.791581741,2.611111111111111,1.7777777777777777,,6.803515065,0.1570792,0,0,3.25,3.85,0.149354826,0.598822803,0,0.14768324
"A better life, a better world",Panasonic,14,191,177,0.073298429,147,106,94,44,191,200,0.7696335078534031,0.53,0.47,0.2303664921465968,241,150,0.6163682864450127,0.2396335078534031,0.6581328015390862,6.75,6.329252036251337,-0.666666667,-0.41,87.94500000000002,-2.483333333,-1.5,-4.505,16.75,-1.1,-1.316666667,32.166666666666664,6,0,0,1,2.249714640064384,4.2105263157894735,6.3205,3.2777777777777777,6.99,5.43,5.1875,4.388888888888889,3.2222222222222223,2.2983333333333333,3.421052631578948,4.659,4.882352941176471,4.428571428571429,0.997934882,0.757540094,3.421052631578948,1.736842105263158,2.419354839,6.793892437,0.114115886,0,0,3.583333333333333,3.625,0.100104384,0.492018119,0,0.107426054
A better way forward,Michelin,13,207,194,0.062801932,138,56,110,69,207,166,0.6666666666666666,0.3373493975903614,0.6626506024096386,0.3333333333333333,248,125,0.6648793565683646,0.3293172690763052,0.8455679363029248,6.666666666666667,6.055149375680667,-1,-0.5875,75.87500000000001,-3.67,-1.45,-4.385,22,-1.216666667,-1.4875,41.75,4,0,0,0,2.340033204133106,4,,3.9375,,,6.235294117647059,3.7777777777777777,2.7058823529411766,2.0925,3,,5.090909090909091,5.421052631578948,0.999496035,0.759592445,2.833333333333333,1.8333333333333333,,4.711755697,0.124893339,0,0,3.88,2.4,0.107866232,0.526069565,0,0.103201127
A champion will rise,FS1,0,191,191,0,138,22,167,53,191,189,0.7225130890052356,0.1164021164021164,0.8835978835978836,0.2774869109947644,305,75,0.8026315789473685,0.6061109726031192,1.7697858806427471,6.333333333333333,5.598554550143663,-1,-0.5875,75.87500000000001,-3.67,-1.45,-6.4375,21.666666666666668,-1.283333333,-1.8875,47,4,0,0,0,2.314905592492555,5.944444444444445,7.235,3.2,8.03,7.121,5.95,3.9,3.4,2.99,4.2,5.706,4,4.666666666666667,1.018194559,0.756527971,3.45,1.45,2.0486671556666667,7.029272138,0.14027294,0,1,4.2,3.333333333333333,0.12913979,0.59523009,0,0.13976267
